Name,Team,Name,Age,G,AB,PA,H,2B,3B,HR,R,RBI,BB,SO,AVG,OBP,SLG,wOBA,WAR,wRC+,NameASCII,PlayerId,MLBAMID
"Yoán Moncada","LAA","Yoán Moncada",30,42,134,156,29,6,1,8,21,22,18,39,0.21641791,0.32051282,0.45522388,0.33565855140869433,0.3392118582821834,114.58885224251965,"Yoan Moncada",17232,660162
"Paul Goldschmidt","NYY","Paul Goldschmidt",37,97,355,390,102,23,1,8,58,37,30,67,0.287323943,0.345360824,0.425352112,0.3320585865887276,1.1001390451513098,114.41532674030476,"Paul Goldschmidt",9218,502671
"Harrison Bader","MIN","Harrison Bader",31,92,260,295,65,12,0,12,29,38,26,78,0.25,0.332203389,0.434615384,0.33452745514400933,1.7794876867678313,114.2298577143471,"Harrison Bader",18030,664056
"Kody Clemens","- - -","Kody Clemens",29,66,167,188,36,6,3,12,25,31,14,47,0.215568862,0.288770053,0.502994011,0.3343309807904901,1.0382608260792758,114.12125773261045,"Kody Clemens",20572,665019
"Sal Frelick","MIL","Sal Frelick",25,94,348,389,102,11,3,7,46,39,26,50,0.293103448,0.352480417,0.40229885,0.33236700203026553,2.434193266116264,114.00685145284206,"Sal Frelick",29622,686217
"Michael Helman","TEX","Michael Helman",29,8,11,14,2,0,0,1,4,4,2,1,0.181818181,0.307692307,0.454545454,0.3309852251639733,0.09555578787665453,113.95307418510039,"Michael Helman",24605,680737
"Jo Adell","LAA","Jo Adell",26,98,327,363,77,14,0,21,38,60,25,90,0.235474006,0.306629834,0.470948012,0.3347000389138638,0.8199276573645049,113.92851925620535,"Jo Adell",20220,666176
"Jordan Westburg","BAL","Jordan Westburg",26,53,204,219,52,7,1,11,37,23,11,51,0.25490196,0.305936073,0.460784313,0.3304766574406733,1.1220932783293862,113.64168262388725,"Jordan Westburg",27815,676059
"Rhys Hoskins","MIL","Rhys Hoskins",32,82,269,318,65,12,1,12,30,42,38,85,0.241635687,0.339622641,0.427509293,0.3318294115081618,1.0501891829343353,113.63860726968494,"Rhys Hoskins",16472,656555
"Hyeseong Kim","LAD","Hyeseong Kim",26,56,135,142,42,6,1,2,17,15,6,40,0.311111111,0.345070422,0.414814814,0.33212375766794444,1.0503581558808512,113.59479997577479,"Hyeseong Kim",35322,808975
"Ildemaro Vargas","ARI","Ildemaro Vargas",33,10,28,29,8,2,0,1,5,4,0,7,0.285714285,0.310344827,0.464285714,0.3336399115365127,0.13876147579299863,113.14004945423947,"Ildemaro Vargas",13324,545121
"Francisco Lindor","NYM","Francisco Lindor",31,103,417,467,105,19,0,20,68,58,34,85,0.251798561,0.319057815,0.441247002,0.3271489453572099,3.131562730901739,112.97881146094795,"Francisco Lindor",12916,596019
"Carlos Narváez","BOS","Carlos Narváez",26,79,275,308,73,21,0,9,40,33,31,76,0.265454545,0.337662337,0.44,0.3376846944356894,2.4064856841551427,112.96654033685407,"Carlos Narvaez",19722,665966
"Tyler Freeman","COL","Tyler Freeman",26,60,185,216,56,14,1,1,26,16,22,20,0.302702702,0.388888888,0.405405405,0.35181423249068083,0.2824034944760475,112.9214310618571,"Tyler Freeman",22532,671289
"Bo Bichette","TOR","Bo Bichette",27,102,431,460,121,31,1,13,50,63,24,72,0.280742459,0.32173913,0.447795823,0.330399351739467,1.630815664977397,112.7476543909965,"Bo Bichette",19612,666182
"Kerry Carpenter","DET","Kerry Carpenter",27,78,265,280,68,11,2,16,40,32,7,60,0.256603773,0.285198555,0.494339622,0.33098149686944184,0.8226970901710152,112.29420649381365,"Kerry Carpenter",25961,681481
"Jackson Chourio","MIL","Jackson Chourio",21,103,435,459,119,27,3,17,70,66,19,94,0.273563218,0.305010893,0.466666666,0.32964550072331317,2.293147965296855,112.14265001227726,"Jackson Chourio",28806,694192
"Jake Cronenworth","SDP","Jake Cronenworth",31,80,257,306,61,14,1,8,33,31,37,65,0.237354085,0.342105263,0.392996108,0.3252017552915372,1.5748536963558146,112.08257072028991,"Jake Cronenworth",18036,630105
"Josh Smith","TEX","Josh Smith",27,92,324,366,87,17,1,8,50,26,34,60,0.268518518,0.346153846,0.401234567,0.32799088477429766,1.6380759883888214,111.89023020318065,"Josh Smith",26396,669701
"Marcell Ozuna","ATL","Marcell Ozuna",34,95,328,400,76,11,0,13,37,42,65,92,0.231707317,0.358395989,0.384146341,0.330357109269207,0.699650616009803,111.40464079663897,"Marcell Ozuna",10324,542303
"Teoscar Hernández","LAD","Teoscar Hernández",32,82,310,330,80,19,0,16,43,61,16,79,0.258064516,0.294832826,0.474193548,0.3279007526516552,0.797321405042126,110.7020833657303,"Teoscar Hernandez",13066,606192
"Ryan Jeffers","MIN","Ryan Jeffers",28,83,276,315,70,19,0,7,31,34,34,56,0.253623188,0.346031746,0.398550724,0.3289974113558508,1.312618402708827,110.42013134272668,"Ryan Jeffers",24618,680777
"Colt Keith","DET","Colt Keith",23,94,281,322,71,16,2,8,43,31,37,66,0.252669039,0.338509316,0.409252669,0.32768636182968663,1.1549599634878602,110.02414076921904,"Colt Keith",27899,690993
"Shea Langeliers","ATH","Shea Langeliers",27,75,278,306,69,15,0,16,35,41,24,60,0.248201438,0.303921568,0.474820143,0.3305346465501629,1.4422780014010226,109.41752223635285,"Shea Langeliers",25816,669127
"Jake Fraley","CIN","Jake Fraley",30,56,144,167,36,7,0,5,26,21,22,34,0.25,0.353293413,0.402777777,0.3335665776787034,0.5220281890371841,109.19420982806783,"Jake Fraley",19260,641584
"Evan Carter","TEX","Evan Carter",22,49,151,170,38,7,2,4,25,20,16,32,0.251655629,0.335294117,0.403973509,0.3235594954716383,1.1404354689298837,108.83738264247809,"Evan Carter",27790,694497
"Jarren Duran","BOS","Jarren Duran",28,104,421,467,109,26,12,9,58,55,36,113,0.258907363,0.326180257,0.441805225,0.33167234114311284,2.4578100730074106,108.82454403959592,"Jarren Duran",24617,680776
"Reese McGuire","CHC","Reese McGuire",30,23,74,77,18,1,0,6,11,15,2,14,0.243243243,0.263157894,0.5,0.32323384128118815,0.6253094053903498,108.78830896338216,"Reese McGuire",15674,624512
"Austin Slater","CHW","Austin Slater",32,48,115,127,28,6,1,5,20,11,11,35,0.24347826,0.309523809,0.44347826,0.32546012269126046,0.4418141995553121,108.48402339545405,"Austin Slater",16153,596103
"Caleb Durbin","MIL","Caleb Durbin",25,81,257,296,68,15,0,5,35,36,20,28,0.264591439,0.346938775,0.381322957,0.3240255989184996,1.5642431226519422,108.2930729374463,"Caleb Durbin",29646,702332
"Luke Raley","SEA","Luke Raley",30,49,141,170,31,6,0,4,19,18,17,46,0.219858156,0.343195266,0.34751773,0.31461635567027435,0.472793421725452,107.80273266469302,"Luke Raley",19354,670042
"Austin Riley","ATL","Austin Riley",28,95,387,417,104,19,1,14,51,48,26,118,0.26873385,0.318944844,0.431524547,0.3248015187967282,1.7638522924609297,107.59911634749548,"Austin Riley",18360,663586
"Victor Caratini","HOU","Victor Caratini",31,75,245,270,65,11,0,10,27,36,13,45,0.265306122,0.314814814,0.432653061,0.3222836823375137,0.6919610861143374,107.12831886403666,"Victor Caratini",14968,605170
"Vinnie Pasquantino","KCR","Vinnie Pasquantino",27,103,399,436,106,15,1,17,41,61,30,73,0.26566416,0.323394495,0.436090225,0.3272443311869685,0.49320576700970964,106.95347750970473,"Vinnie Pasquantino",27676,686469
"Kyle Manzardo","CLE","Kyle Manzardo",24,88,288,324,65,13,2,16,28,43,30,81,0.225694444,0.299382716,0.451388888,0.3205638813898659,0.4806147044867878,106.55278758373404,"Kyle Manzardo",29794,700932
"Zack Short","HOU","Zack Short",30,18,39,43,9,2,0,2,7,7,3,16,0.23076923,0.302325581,0.435897435,0.32063856374385746,0.11317852236079579,105.99497310208885,"Zack Short",19562,670097
"Ceddanne Rafaela","BOS","Ceddanne Rafaela",24,100,348,373,92,21,2,14,58,48,17,70,0.264367816,0.305405405,0.456896551,0.327458926471504,3.0972060617573134,105.92186232424083,"Ceddanne Rafaela",24262,678882
"Jasson Domínguez","NYY","Jasson Domínguez",22,85,292,330,74,15,1,9,44,36,33,95,0.253424657,0.327272727,0.404109589,0.31963533397876853,0.5987552984947919,105.85677008098686,"Jasson Dominguez",28080,691176
"Gavin Sheets","SDP","Gavin Sheets",29,100,348,383,87,15,1,14,37,52,29,75,0.25,0.31070496,0.419540229,0.31600252386787175,0.6983084626792381,105.78118830747356,"Gavin Sheets",19901,657757
"Jackson Holliday","BAL","Jackson Holliday",21,97,388,416,102,15,2,14,45,42,23,97,0.262886597,0.3125,0.420103092,0.318841941224841,1.219026049118379,105.62635998056751,"Jackson Holliday",31781,702616
"Edgar Quero","CHW","Edgar Quero",22,65,202,229,56,12,0,2,16,23,22,40,0.277227722,0.35371179,0.366336633,0.32113067473907136,0.1607365766181717,105.50140469118057,"Edgar Quero",28022,700337
"Gabriel Moreno","ARI","Gabriel Moreno",25,53,174,188,47,8,1,5,29,20,13,32,0.270114942,0.324468085,0.413793103,0.32243662533607886,1.3716032284012925,105.46590936819386,"Gabriel Moreno",22664,672515
"Luken Baker","STL","Luken Baker",28,19,34,41,8,3,0,0,3,2,7,10,0.235294117,0.365853658,0.323529411,0.31727585269183645,0.024193697399278874,105.06285017209981,"Luken Baker",21497,663609
"Xander Bogaerts","SDP","Xander Bogaerts",32,103,368,418,98,23,0,6,44,35,43,65,0.266304347,0.340527577,0.377717391,0.314703037917326,2.5294267277621048,104.89105330191153,"Xander Bogaerts",12161,593428
"Jesús Sánchez","MIA","Jesús Sánchez",27,82,291,321,76,11,4,9,38,34,27,67,0.261168384,0.323987538,0.419243986,0.3219753151759505,1.0702243673040122,104.79314349844391,"Jesus Sanchez",19913,660821
"Jackson Merrill","SDP","Jackson Merrill",22,72,276,306,72,14,2,7,37,36,23,67,0.260869565,0.321311475,0.402173913,0.31439301822530596,1.4529456863877603,104.67869288342091,"Jackson Merrill",29490,701538
"Francisco Alvarez","NYM","Francisco Alvarez",23,39,136,154,33,4,1,4,14,13,16,40,0.242647058,0.331168831,0.375,0.31446862994850455,0.6453030306702751,104.29292099624847,"Francisco Alvarez",26121,682626
"Matt Wallner","MIN","Matt Wallner",27,63,198,229,40,10,2,11,25,20,26,68,0.202020202,0.301310043,0.439393939,0.31985265380950995,0.46307544041101684,104.12017689011077,"Matt Wallner",26466,670242
"Jurickson Profar","ATL","Jurickson Profar",32,23,93,103,23,6,0,3,15,10,9,18,0.247311827,0.320388349,0.40860215,0.3196427793178743,0.13762915152499988,104.06543089843451,"Jurickson Profar",10815,595777
"Salvador Perez","KCR","Salvador Perez",35,100,388,415,99,27,0,18,33,62,19,81,0.255154639,0.297820823,0.463917525,0.32300433596655326,0.7709242772925415,104.03248407356782,"Salvador Perez",7304,521692
"Willy Adames","SFG","Willy Adames",29,104,382,442,88,17,2,15,61,54,50,113,0.230366492,0.319727891,0.403141361,0.31525676805864683,2.349509407362731,103.92514697792575,"Willy Adames",15986,642715
"Gavin Lux","CIN","Gavin Lux",27,91,296,335,80,17,1,4,32,40,39,79,0.27027027,0.35522388,0.375,0.32586555943560247,0.29766894245267916,103.91908860511265,"Gavin Lux",19955,666158
"Nick Castellanos","PHI","Nick Castellanos",33,102,392,421,106,23,1,13,47,56,22,85,0.270408163,0.311163895,0.433673469,0.32097566510039666,0.32963928685149385,103.8389496050868,"Nick Castellanos",11737,592206
"Amed Rosario","WSN","Amed Rosario",29,47,148,158,40,8,0,5,19,18,7,22,0.27027027,0.310126582,0.425675675,0.31843312329883816,0.19002567779584661,103.72780464788165,"Amed Rosario",15518,642708
"Agustín Ramírez","MIA","Agustín Ramírez",23,79,316,337,77,23,1,15,45,46,20,65,0.243670886,0.287833827,0.465189873,0.32026603995334535,0.35234282576158726,103.62230690021697,"Agustin Ramirez",26546,682663
"Lars Nootbaar","STL","Lars Nootbaar",27,88,331,386,75,15,0,12,50,37,48,83,0.226586102,0.331606217,0.380664652,0.31511378272747,0.900514295973895,103.58185366040331,"Lars Nootbaar",21454,663457
"Cam Smith","HOU","Cam Smith",22,91,327,361,85,17,2,7,39,43,30,101,0.259938837,0.329639889,0.388379204,0.31692421766529455,1.3010399524411214,103.43610688856502,"Cam Smith",35108,701358
"Daulton Varsho","TOR","Daulton Varsho",28,24,92,100,19,5,1,8,14,20,5,31,0.206521739,0.24,0.54347826,0.3163755831092295,0.584757009754624,103.08647932136645,"Daulton Varsho",19918,662139
"Jung Hoo Lee","SFG","Jung Hoo Lee",26,99,374,415,95,22,8,6,50,42,33,45,0.254010695,0.318072289,0.403743315,0.31376638671001755,1.3956849646939022,102.90425051537107,"Jung Hoo Lee",33824,808982
"Sam Haggerty","TEX","Sam Haggerty",31,49,132,148,34,5,3,2,27,12,14,27,0.257575757,0.333333333,0.386363636,0.3149137419380554,0.33304049134851654,102.88119920140811,"Sam Haggerty",18054,664059
"Brice Turang","MIL","Brice Turang",25,100,377,424,104,17,0,6,62,43,41,92,0.275862068,0.345153664,0.368700265,0.3160297120634413,1.7018870391987047,102.81596963578185,"Brice Turang",22186,668930
"Xavier Edwards","MIA","Xavier Edwards",25,87,352,393,104,16,2,1,47,26,35,57,0.295454545,0.358974358,0.360795454,0.3190301953210044,1.884182239334659,102.77576556729942,"Xavier Edwards",22266,669364
"Luis Arraez","SDP","Luis Arraez",28,99,401,433,115,20,4,5,44,38,20,12,0.286783042,0.321596244,0.394014962,0.3115609724756698,0.4853599354465423,102.73876959448836,"Luis Arraez",18568,650333
"Dillon Dingler","DET","Dillon Dingler",26,78,268,286,72,14,1,8,26,37,10,67,0.268656716,0.311188811,0.417910447,0.31685155025728934,2.2578889921523024,102.55988389167166,"Dillon Dingler",27464,693307
"Dominic Smith","SFG","Dominic Smith",30,31,92,106,23,6,0,2,11,11,10,21,0.25,0.330188679,0.380434782,0.3130380005206702,0.07463355614349573,102.40531318985884,"Dominic Smith",15653,642086
"Miguel Rojas","LAD","Miguel Rojas",36,62,140,152,35,6,0,6,18,14,11,18,0.25,0.304635761,0.421428571,0.3154820219570438,0.8406482064957964,102.19537583935899,"Miguel Rojas",7802,500743
"Jordan Beck","COL","Jordan Beck",24,92,343,370,94,19,5,11,45,35,23,103,0.274052478,0.324324324,0.454810495,0.3358204385718784,1.0118843160494628,101.9658406355872,"Jordan Beck",31431,687597
"Wenceel Pérez","DET","Wenceel Pérez",25,47,159,173,38,7,2,7,24,21,11,37,0.23899371,0.294797687,0.440251572,0.3159432156237564,0.7833796574644091,101.93411915269496,"Wenceel Perez",22857,672761
"Oneil Cruz","PIT","Oneil Cruz",26,93,336,393,73,14,2,17,52,42,49,124,0.217261904,0.318066157,0.422619047,0.3185405076929107,2.0309304489285136,101.89788332313098,"Oneil Cruz",21711,665833
"J.T. Realmuto","PHI","J.T. Realmuto",34,86,329,355,90,19,1,7,38,38,24,85,0.273556231,0.326760563,0.401215805,0.31800431888655756,1.6666177314460495,101.80360687785561,"J.T. Realmuto",11739,592663
"Edmundo Sosa","PHI","Edmundo Sosa",29,56,148,161,40,8,1,4,17,25,8,34,0.27027027,0.314465408,0.418918918,0.31793085209228705,0.8263783140111969,101.75328285142105,"Edmundo Sosa",17022,624641
"Ian Happ","CHC","Ian Happ",30,92,367,424,83,16,0,14,59,48,53,93,0.226158038,0.323113207,0.384196185,0.3129570300005517,1.077759616739361,101.74879502126721,"Ian Happ",17919,664023
"Lawrence Butler","ATH","Lawrence Butler",24,102,399,442,95,24,2,15,59,44,42,127,0.238095238,0.310657596,0.421052631,0.31852363945405227,1.7635579007551256,101.14296741605355,"Lawrence Butler",22542,671732
"Omar Narváez","CHW","Omar Narváez",33,4,7,10,2,0,0,0,1,3,2,1,0.285714285,0.4,0.285714285,0.3147830247879028,0.015279397451772356,101.12841772341645,"Omar Narvaez",13338,553882
"Jake Mangum","TBR","Jake Mangum",29,67,238,253,71,11,1,2,25,28,13,34,0.298319327,0.337301587,0.37815126,0.31523616044294267,1.2211058539260642,100.8155141360718,"Jake Mangum",26202,663968
"Nolan Gorman","STL","Nolan Gorman",25,66,196,226,43,8,1,9,31,29,27,68,0.219387755,0.309734513,0.408163265,0.3110027037726508,0.24512583937825183,100.76580529391114,"Nolan Gorman",22263,669357
"Tomás Nido","DET","Tomás Nido",31,11,35,37,12,0,0,0,4,2,0,10,0.342857142,0.361111111,0.342857142,0.3142008036375046,0.13626786310633826,100.73374657906989,"Tomas Nido",13755,621512
"Nico Hoerner","CHC","Nico Hoerner",28,100,381,411,109,18,3,3,55,41,22,30,0.286089238,0.333333333,0.372703412,0.31131800740884746,2.6531099275777867,100.62608077940087,"Nico Hoerner",21479,663538
"Wyatt Langford","TEX","Wyatt Langford",23,84,319,361,73,12,0,15,44,39,37,102,0.228840125,0.310249307,0.40752351,0.3114815598410816,1.8109572355503007,100.5167197961919,"Wyatt Langford",33333,694671
"Brett Baty","NYM","Brett Baty",25,83,248,271,59,9,2,11,28,33,19,66,0.237903225,0.292592592,0.423387096,0.3087313053784547,1.1097631087355255,100.36291049022668,"Brett Baty",26123,683146
"Gary Sánchez","BAL","Gary Sánchez",32,30,91,101,21,2,0,5,13,24,4,27,0.23076923,0.297029702,0.417582417,0.3111090158471967,-0.13144410263772888,100.29903693041955,"Gary Sanchez",11442,596142
"Adrian Del Castillo","ARI","Adrian Del Castillo",25,5,18,18,6,1,0,0,2,2,0,5,0.333333333,0.333333333,0.388888888,0.31466468837526107,0.02415625047822976,100.14220952600634,"Adrian Del Castillo",29554,680728
"Masyn Winn","STL","Masyn Winn",23,94,360,394,96,21,0,7,57,36,27,67,0.266666666,0.321428571,0.383333333,0.3096766753160224,2.8933884684446634,99.85748893456869,"Masyn Winn",27479,691026
"Willie MacIver","ATH","Willie MacIver",28,17,49,52,12,4,0,2,4,4,3,11,0.244897959,0.288461538,0.448979591,0.31637291266367984,0.24279385472199277,99.66130092564029,"Willie MacIver",24641,680862
"Otto Lopez","MIA","Otto Lopez",26,87,327,364,82,14,0,11,44,54,34,51,0.250764525,0.324175824,0.394495412,0.314387162087372,2.010845176853728,99.59533378848076,"Otto Lopez",19608,672640
"Casey Schmitt","SFG","Casey Schmitt",26,48,146,164,35,5,0,5,15,17,14,42,0.239726027,0.319018404,0.376712328,0.30892459124875216,0.3593101758305977,99.58766857923418,"Casey Schmitt",27577,669477
"Mitch Garver","SEA","Mitch Garver",34,57,170,191,39,5,0,6,17,22,19,57,0.229411764,0.314136125,0.364705882,0.3024845816077986,0.29741837907820595,99.44497975153831,"Mitch Garver",15161,641598
"Dansby Swanson","CHC","Dansby Swanson",31,101,389,423,98,12,2,16,58,48,29,115,0.25192802,0.300947867,0.416452442,0.3091594017599654,2.0274199158799275,99.14745728949941,"Dansby Swanson",18314,621020
"Wilmer Flores","SFG","Wilmer Flores",33,93,330,367,81,9,0,12,35,59,29,66,0.245454545,0.316076294,0.381818181,0.30803242723688445,0.0032220644722152914,98.97654506740815,"Wilmer Flores",5827,527038
"Javier Báez","DET","Javier Báez",32,86,290,305,77,13,1,10,43,39,9,72,0.265517241,0.298360655,0.420689655,0.3109375795380014,1.4135188395432738,98.48566475827032,"Javier Baez",12979,595879
"Danny Jansen","TBR","Danny Jansen",30,73,221,259,45,8,0,11,28,29,33,68,0.203619909,0.313953488,0.389140271,0.3114564134631046,0.8572196637947955,98.21159230493255,"Danny Jansen",16535,643376
"Royce Lewis","MIN","Royce Lewis",26,49,164,180,41,10,0,5,19,20,15,24,0.25,0.311111111,0.402439024,0.3112293389108446,0.6811480339334564,98.17945174602058,"Royce Lewis",20437,668904
"Trevor Larnach","MIN","Trevor Larnach",28,96,345,386,83,15,1,13,46,42,34,86,0.24057971,0.311688311,0.40289855,0.3111610988465448,-0.04703303492567834,98.13244018833264,"Trevor Larnach",21501,663616
"Mike Yastrzemski","SFG","Mike Yastrzemski",34,94,311,359,73,14,1,8,37,28,45,83,0.234726688,0.332402234,0.363344051,0.3067932366314581,1.1095634350588606,98.12771177606677,"Mike Yastrzemski",14854,573262
"Alec Bohm","PHI","Alec Bohm",28,92,353,383,98,12,2,8,39,42,22,62,0.277620396,0.323759791,0.390934844,0.312418915273004,1.012335488194725,97.9776607223557,"Alec Bohm",21618,664761
"Miguel Vargas","CHW","Miguel Vargas",25,101,371,417,84,25,2,12,54,41,39,70,0.226415094,0.306954436,0.40161725,0.3098415649480385,0.82590164901914,97.7241752639723,"Miguel Vargas",20178,678246
"Cedric Mullins","BAL","Cedric Mullins",30,87,301,338,66,15,0,14,39,45,32,84,0.219269102,0.296735905,0.408637873,0.3071928944007579,0.8004287549450827,97.60116477596878,"Cedric Mullins",17929,656775
"Carlos Correa","MIN","Carlos Correa",30,90,327,354,87,19,0,7,40,31,26,67,0.266055045,0.319209039,0.388379204,0.3103225167188267,1.0688303554196934,97.55472894966611,"Carlos Correa",14162,621043
"Andrew Benintendi","CHW","Andrew Benintendi",30,74,268,303,63,12,2,11,37,38,27,50,0.235074626,0.304635761,0.417910447,0.30955636461575825,-0.06058160891542935,97.52769667018441,"Andrew Benintendi",17901,643217
"Adley Rutschman","BAL","Adley Rutschman",27,68,242,276,55,9,1,8,31,20,32,45,0.227272727,0.318840579,0.371900826,0.30670427995315497,1.0744370225564044,97.26455128466628,"Adley Rutschman",26288,668939
"Chandler Simpson","TBR","Chandler Simpson",24,60,214,232,66,8,1,0,30,15,13,20,0.308411214,0.344978165,0.355140186,0.3095489651875725,0.8261388957306973,96.8975238678332,"Chandler Simpson",31912,802415
"Logan O'Hoppe","LAA","Logan O'Hoppe",25,84,305,322,74,5,1,18,30,38,14,102,0.24262295,0.279503105,0.44262295,0.30982360928695396,0.40048748716998195,96.79079058499033,"Logan O'Hoppe",24729,681351
"Ezequiel Tovar","COL","Ezequiel Tovar",23,39,152,165,40,7,2,6,20,15,9,37,0.263157894,0.308641975,0.453947368,0.3281649222344528,0.6964567938768622,96.7218877673529,"Ezequiel Tovar",24064,678662
"William Contreras","MIL","William Contreras",27,98,364,426,89,18,0,6,50,42,57,80,0.244505494,0.345070422,0.343406593,0.30684223064879107,1.5317790156653484,96.52263586276477,"William Contreras",20503,661388
"Andrew McCutchen","PIT","Andrew McCutchen",38,92,330,375,82,15,0,9,33,32,38,79,0.248484848,0.327077747,0.375757575,0.31001401876890533,-0.05720372089725623,96.05732285950563,"Andrew McCutchen",9847,457705
"Ernie Clement","TOR","Ernie Clement",29,103,351,382,99,20,1,5,49,31,20,37,0.282051282,0.318302387,0.387464387,0.30608101014761213,1.999728695064279,95.99440056053903,"Ernie Clement",20352,676391
"Mauricio Dubón","HOU","Mauricio Dubón",30,81,229,248,59,14,0,6,27,21,15,25,0.257641921,0.304878048,0.397379912,0.3059347356722607,1.8555082883956984,95.8652953429207,"Mauricio Dubon",16530,643289
"Abraham Toro","BOS","Abraham Toro",28,59,195,214,52,12,0,5,25,21,12,34,0.266666666,0.317757009,0.405128205,0.3126289413568559,-0.01837156121371153,95.70527317118689,"Abraham Toro",19844,647351
"Randal Grichuk","ARI","Randal Grichuk",33,70,175,188,42,15,1,7,25,22,10,39,0.24,0.276595744,0.457142857,0.3080970986004182,-0.02231315813704049,95.6434755779373,"Randal Grichuk",10243,545341
"Zach Dezenzo","HOU","Zach Dezenzo",25,34,98,109,24,6,0,2,17,10,11,37,0.244897959,0.321100917,0.367346938,0.30560873626568996,0.06944468057175457,95.64070968249526,"Zach Dezenzo",31562,701305
"Luis García Jr.","WSN","Luis García Jr.",25,92,327,355,86,22,0,8,44,44,20,51,0.262996941,0.304225352,0.403669724,0.3057205559502185,0.5827746940785716,95.01982192377532,"Luis Garcia Jr.",20391,671277
"Sam Hilliard","COL","Sam Hilliard",31,20,51,61,10,3,1,2,8,3,10,23,0.196078431,0.327868852,0.411764705,0.3255679548763838,-0.009786277737767218,94.94299084834553,"Sam Hilliard",17954,656541
"Jesse Winker","NYM","Jesse Winker",31,26,70,81,16,5,2,1,8,10,9,21,0.228571428,0.308641975,0.4,0.30071459114551546,-0.09219360449663727,94.87154064099536,"Jesse Winker",13590,608385
"DJ LeMahieu","NYY","DJ LeMahieu",36,45,128,142,34,3,0,2,13,12,14,35,0.265625,0.338028169,0.3359375,0.3035315669758219,0.25033524097835796,94.76265434090395,"DJ LeMahieu",9874,518934
"Josh Bell","WSN","Josh Bell",32,90,312,353,69,10,1,13,33,39,36,62,0.221153846,0.308781869,0.384615384,0.3050850040533326,-0.5073714306413659,94.58447516913596,"Josh Bell",13145,605137
"José Tena","WSN","José Tena",24,44,137,154,34,12,2,0,18,13,15,33,0.248175182,0.324675324,0.364963503,0.30477205770356314,0.1294110320938323,94.37011001907362,"Jose Tena",23691,677588
"Ty France","MIN","Ty France",30,98,342,378,87,19,0,6,41,44,18,61,0.254385964,0.322751322,0.362573099,0.30541318544635065,0.7405942372948201,94.17262032046824,"Ty France",17982,664034
"Christian Moore","LAA","Christian Moore",22,18,53,64,10,0,1,3,8,8,8,20,0.188679245,0.301587301,0.396226415,0.3054828161285037,0.13721223767377771,93.80035600562789,"Christian Moore",34979,695681
"Tyler Stephenson","CIN","Tyler Stephenson",28,60,215,243,51,12,0,8,27,33,25,85,0.237209302,0.312757201,0.404651162,0.311044861955091,0.6165720222316574,93.76705762031607,"Tyler Stephenson",17988,663886
"Jose Trevino","CIN","Jose Trevino",32,61,183,199,48,17,0,4,22,15,12,23,0.262295081,0.303030303,0.420765027,0.3108846099689753,0.8574187637646407,93.65728659701833,"Jose Trevino",16725,624431
"Austin Wells","NYY","Austin Wells",25,83,277,309,60,15,1,15,32,55,19,75,0.216606498,0.27184466,0.440433212,0.3018249074618022,2.0674851509529475,93.58691215747669,"Austin Wells",27562,669224
"Daniel Schneemann","CLE","Daniel Schneemann",28,85,235,268,51,11,0,9,31,27,30,65,0.217021276,0.307116104,0.378723404,0.3016471882959954,1.3806525458429442,93.52080677051029,"Daniel Schneemann",25180,682177
"Nick Gonzales","PIT","Nick Gonzales",26,42,160,175,40,7,2,4,16,15,14,30,0.25,0.308571428,0.39375,0.30621706621987477,0.6353905700996542,93.45644796976119,"Nick Gonzales",27490,693304
"Josh Lowe","TBR","Josh Lowe",27,59,214,238,52,12,0,6,32,24,21,51,0.242990654,0.312236286,0.38317757,0.3042440331083233,0.2165859282648298,93.2428801767204,"Josh Lowe",19953,666139
"Tyler O'Neill","BAL","Tyler O'Neill",30,36,123,141,26,6,1,5,17,15,13,34,0.211382113,0.29787234,0.398373983,0.30072531146662573,-0.2006633523495851,93.14555425845954,"Tyler O'Neill",15711,641933
"Anthony Volpe","NYY","Anthony Volpe",24,103,368,414,80,22,3,14,44,55,35,96,0.217391304,0.288135593,0.407608695,0.30045880070610137,1.0749755923568376,92.64578164693957,"Anthony Volpe",27647,683011
"Rowdy Tellez","- - -","Rowdy Tellez",30,69,186,201,39,6,0,12,21,31,10,54,0.209677419,0.253731343,0.43548387,0.2927879741535851,-0.326582668337539,92.35677578456618,"Rowdy Tellez",15679,642133
"Max Schuemann","ATH","Max Schuemann",28,72,113,134,26,1,2,2,16,8,17,20,0.230088495,0.343283582,0.327433628,0.30558722366147967,0.8644443469243688,92.23088529027666,"Max Schuemann",24488,680474
"Lourdes Gurriel Jr.","ARI","Lourdes Gurriel Jr.",31,97,380,415,94,20,2,12,35,48,25,57,0.247368421,0.296385542,0.405263157,0.3030776000884642,0.48748170338706354,92.20516881211167,"Lourdes Gurriel Jr.",19238,666971
"Cole Young","SEA","Cole Young",21,41,134,150,34,5,0,2,14,12,12,31,0.253731343,0.322147651,0.335820895,0.2919632212535755,0.05235241331673232,92.1966639077042,"Cole Young",31680,702284
"Matt Thaiss","- - -","Matt Thaiss",30,56,145,178,32,5,1,1,16,16,29,42,0.220689655,0.355932203,0.289655172,0.30192019508383366,0.6712954935055229,91.91663190048129,"Matt Thaiss",19318,642136
